cie10_clase;clase;cie10_enfermedad;nombre_enfermedad
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A000;COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A001;COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A009;COLERA, NO ESPECIFICADO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0090;SOSPECHOSO DE COLERA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0091;SOSPECHOSO DE COLERA NO ESPECIFICADO SIN DESHIDRATACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0092;SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0093;SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION CON SHOCK
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A010;FIEBRE TIFOIDEA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0109;FIEBRE TIFOIDEA CON DIARREA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A011;FIEBRE PARATIFOIDEA A
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A012;FIEBRE PARATIFOIDEA B
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A013;FIEBRE PARATIFOIDEA C
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0141;FIEBRE PARATIFOIDEA NO ESPECIFICADA CON DIARREA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A020;ENTERITIS DEBIDA A SALMONELLA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A021;SEPSIS DEBIDA A SALMONELLA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A022;INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A029;INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A038;OTRAS SHIGELOSIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A039;SHIGELOSIS DE TIPO NO ESPECIFICADO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A045;ENTERITIS DEBIDA A CAMPYLOBACTER
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A051;BOTULISMO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A060;DISENTERIA AMEBIANA AGUDA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A061;AMEBIASIS INTESTINAL CRONICA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A062;COLITIS AMEBIANA NO DISENTERICA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A063;AMEBOMA INTESTINAL
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A064;ABSCESO AMEBIANO DEL HIGADO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A065;ABSCESO AMEBIANO DEL PULMON
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A066;ABSCESO AMEBIANO DEL CEREBRO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A067;AMEBIASIS CUTANEA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A069;AMEBIASIS, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A070;BALANTIDIASIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A071;GIARDIASIS [LAMBLIASIS]
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A072;CRIPTOSPORIDIOSIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A073;ISOSPORIASIS
