ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
B,P1,ACIDO FOLICO 0.5 MG,TABLETAS,PORTUGAL,2105203,oct-26,CAJ X 30,190,300,410,80, 0.20 ,
A,P2,ACIDO FUSIDICO 2 % X 15 GR,CREMA,FARMINDUSTRIA,21032333,,UND,12,93,105,0, 17.50 ,
V-1,P3,ALITOPIC DESODORANTE ROLL ON AXILAS SENS X 90 ML,FCO,CARNOT,2312219,nov-25,UND,1,7,3,5, 60.00 ,
T,P4,ALKOYODO SOLUCION 10 % X 120 ML,SOLUCION,ALKOFARMA,F2080184,ago-27,UND,30,270,264,36, 10.00 ,
J,P5,AMINOTER COMPLEX  SOBRE X 8.667 GR,POLVO PARA SOL ORAL,LAFAGE,A807,,CAJ X 30,3,8,11,0, 208.00 ,
I,P6,AMINOTER MAX SHAMPOO X 300 ML,GEL,LAFAGE,A975,,UND,3,3,6,0, 88.50 ,
V-2,P7,ANTHELIOS PIGMENT CORRECT CREMA SPF50+ X 50 ML,CREMA,LA ROCHE POSAY,54X400,abr-26,UND,1,1,1,1, 137.90 ,
V-2,P8,ANTHELIOS OIL CORRECT SPF50+ GEL CREMA X 50 ML,GEL-CREM,LA ROCHE POSAY,54X700,jul-26,UND,2,7,4,5, 137.00 ,
V-2,P9,ANTHELIOS INVISIBLE SPRAY 50+ X 200 ML,SPRAY,LA ROCHE POSAY,54X505/54x700,may-26,UND,0,2,0,2, 143.20 ,
V-2,P10,ANTHELIOS FAMILY SPRAY 50+ X 300 ML,SPRAY,LA ROCHE POSAY,54Y33F/54Y31F,feb-27,UND,0,20,10,10, 162.60 ,
V-2,P11,ANTHELIOS DERMO PEDIATRICO SPRAY 50+ X 200 ML,SPRAY,LA ROCHE POSAY,54X602/54X910,jun-26,UND,0,2,0,2, 165.20 ,
V-2,P12,ANTHELIOS DERMO PEDIATRICO 50+ LECHE BEBE X 50 ML,LOCION,LA ROCHE POSAY,54X601,may-26,UND,0,3,2,1, 115.60 ,
V-2,P13,ANTHELIOS AGE CORRECT SPF50 GEL-CREMA X 50 ML S/COLOR,GEL-CREM,LA ROCHE POSAY,54X500,may-26,UND,0,1,0,1, 137.90 ,
V-2,P14,ANTHELIOS AGE CORRECT SPF50 GEL-CREMA X 50 ML C/COLOR,GEL-CREM,LA ROCHE POSAY,54Y701,jul-27,UND,1,11,3,9, 137.90 ,
M-1,P15,AQUATOP CREMA X 250 GR,CREMA,MEDIHEALTH,,,UND,1,0,1,0, 88.00 ,
,P16,ATACHE LECHE DESPIGMENTANTE CORPORAL X 250 ML,FCO,EUROLABS,,,UND,1,0,1,0, 219.00 ,
M-2,P17,AVENE AGUA THERMAL X 300 ML,SPRAY,AVENE,,,UND,1,0,1,0, 92.00 ,
M-2,P18,AVENE A-OXITIVE SERUM X 30 ML,TBO,AVENE,F156,,UND,1,0,1,0, 169.00 ,
M-2,P19,AVENE CICALFATE MANOS CREMA REPARADORA  X 100 ML,CREMA,AVENE,AV296,,UND,1,0,1,0, 78.00 ,
M-2,P20,AVENE CLEANANCE AGUA MICELAR X 100 ML,FCO,AVENE,3A39P,mar-26,UND,1,1,1,1, 60.00 ,
M-2,P21,AVENE CLEANANCE COMEDOMED CONCENTRATE GEL X 30 ML,GEL,AVENE,4A2VU,mar-27,UND,15,49,50,14, 145.00 ,
M-2,P22,AVENE CLEANANCE COMEDOMED EMULSION LOCALIZADO X 15 ML,GEL,AVENE,3A553/4A5AX,abr-26,UND,3,28,14,17, 98.00 ,
M-2,P23,AVENE DERMABSOLU NOITE BALSAMO X 40 ML,POTE,AVENE,F239,,UND,4,0,4,0, 259.60 ,
M-2,P24,AVENE DERMABSOLU SERUM X 30 ML,FCO,AVENE,K318,,UND,1,0,1,0, 277.00 ,
M-2,P25,AVENE HYALURON ACTIVE B3 CREMA MULTI-INTENSIVE NUIT X 40 ML,CREMA,AVENE,3A1GR,,UND,1,0,1,0, 179.00 ,
M-2,P26,AVENE HYALURON ACTIVE B3 CREMA REGENERADORA CELULAR X 40 ML,CREMA,AVENE,3A5BT,,UND,1,0,1,0, 170.00 ,
M-2,P27,AVENE HYALURON ACTIVE B3 SERUM X 30 ML,FCO,AVENE,3A5BP2,,UND,1,0,1,0, 187.00 ,
M-2,P28,AVENE MOUSSE NETTOYANTE ESPUMA LIMPIADORA X 150 ML,ESPUMA,AVENE,,,UND,1,0,1,0, 97.00 ,
M-2,P29,AVENE PHYSIOLIFT NOITE FIRMEZA ARRUGAS INSTALADAS X 30 ML,TBO,AVENE,F241,,UND,7,0,7,0, 193.00 ,
M-2,P30,AVENE PHYSIOLIFT YEUX FIRMEZA ARRUGAS INSTALADAS X 15 ML,TBO,AVENE,F158,,UND,2,0,2,0, 193.00 ,
M-1,P31,BIODERMA CICABIO CREME 40 ML,CREMA,BIODERMA,3122,,UND,1,0,1,0, 84.60 ,
M-1,P32,BIODERMA HYDRABIO SERUM X 40 ML,SERUM,BIODERMA,31821FB/26321F,sep-25,UND,0,16,7,9, 133.00 ,
